message,severity,kind,name,file,line,timestamp
Skipped 10 error log messages due to rate limiting,Warning,unknown,,unknown,-1,2025-10-01T07:37:23.000Z
[CPT DEBUG] Registruji charging_location post type,User,,,unknown,-1,2025-10-01T07:37:22.000Z
Skipped 12 error log messages due to rate limiting,Warning,unknown,,unknown,-1,2025-10-01T07:37:22.000Z
Skipped 28 error log messages due to rate limiting,Warning,unknown,,unknown,-1,2025-10-01T07:37:21.000Z
Skipped 28 error log messages due to rate limiting,Warning,unknown,,unknown,-1,2025-10-01T07:37:20.000Z
[DB Nearby][RECOMPUTE] [Matrix] sending request | {"origin_id":"9449","chunk_index":0,"minute_tokens_after":1,"body_excerpt":"{\"locations\":[[14.5546,50.0851],[14.4929981,50.0923584],[14.5017072,50.1085514],[14.4890668,50.0927871],[14.4853888,50.0711528],[14.4799757,50.0919261]],\"sources\":[0],\"destinations\":[1,2,3,4,5],\"metrics\":[\"distance\",\"duration\"]}"},User,,,unknown,-1,2025-10-01T07:37:19.000Z
Skipped 41 error log messages due to rate limiting,Warning,unknown,,unknown,-1,2025-10-01T07:37:19.000Z
[POI DEBUG] poi post type zaregistrován,User,,,unknown,-1,2025-10-01T07:37:18.000Z
[RV_Spot DEBUG] Spouštím registraci rv_spot post type,User,,,unknown,-1,2025-10-01T07:37:18.000Z
[RV_Spot DEBUG] Spouštím registraci rv_spot post type,User,,,unknown,-1,2025-10-01T07:37:18.000Z
[Spot_Zone DEBUG] Spouštím registraci spot_zone taxonomie,User,,,unknown,-1,2025-10-01T07:37:18.000Z
[CHARGING DEBUG] Charging_Location_Form init dokončen,User,,,unknown,-1,2025-10-01T07:37:18.000Z
[CPT DEBUG] Registruji charging_location post type,User,,,unknown,-1,2025-10-01T07:37:18.000Z
[CPT DEBUG] charging_location post type zaregistrován,User,,,unknown,-1,2025-10-01T07:37:18.000Z
[Repeated 2 more times] EVH: Plugin::init completed,User,,,unknown,-1,2025-10-01T07:37:18.000Z
[RV_Spot DEBUG] rv_spot post type zaregistrován,User,,,unknown,-1,2025-10-01T07:37:18.000Z
[POI DEBUG] Spouštím registraci poi post type,User,,,unknown,-1,2025-10-01T07:37:18.000Z
