message,severity,kind,name,file,line,timestamp
[CPT DEBUG] Registruji charging_location post type,User,,,unknown,-1,2025-10-18T13:55:26.000Z
Skipped 33 error log messages due to rate limiting,Warning,unknown,,unknown,-1,2025-10-18T13:55:26.000Z
Skipped 40 error log messages due to rate limiting,Warning,unknown,,unknown,-1,2025-10-18T13:55:25.000Z
[CHARGING DEBUG] Charging_Location_Form init dokončen,User,,,unknown,-1,2025-10-18T13:55:24.000Z
Skipped 42 error log messages due to rate limiting,Warning,unknown,,unknown,-1,2025-10-18T13:55:24.000Z
PHP Warning:  Constant WP_DEBUG_LOG already defined in /srv/htdocs/wp-config.php on line 85,Warning,,,/srv/htdocs/wp-config.php,85,2025-10-18T13:55:23.000Z
[CHARGING DEBUG] Charging_Location_Form init dokončen,User,,,unknown,-1,2025-10-18T13:55:23.000Z
Skipped 2 error log messages due to rate limiting,Warning,unknown,,unknown,-1,2025-10-18T13:55:23.000Z
PHP Warning:  Constant WP_DEBUG_LOG already defined in /srv/htdocs/wp-config.php on line 85,Warning,,,/srv/htdocs/wp-config.php,85,2025-10-18T13:55:22.000Z
PHP Warning:  Constant WP_DEBUG_LOG already defined in /srv/htdocs/wp-config.php on line 85,Warning,,,/srv/htdocs/wp-config.php,85,2025-10-18T13:55:22.000Z
PHP Warning:  Constant WP_DEBUG_DISPLAY already defined in /srv/htdocs/wp-config.php on line 86,Warning,,,/srv/htdocs/wp-config.php,86,2025-10-18T13:55:22.000Z
PHP Warning:  Constant WP_DEBUG_DISPLAY already defined in /srv/htdocs/wp-config.php on line 86,Warning,,,/srv/htdocs/wp-config.php,86,2025-10-18T13:55:22.000Z
[CPT DEBUG] Konstruktor CPT spuštěn,User,,,unknown,-1,2025-10-18T13:55:22.000Z
[RV_Spot DEBUG] rv_spot post type zaregistrován,User,,,unknown,-1,2025-10-18T13:55:22.000Z
[POI DEBUG] Registruji POI CPT,User,,,unknown,-1,2025-10-18T13:55:22.000Z
[POI DEBUG] Spouštím registraci poi post type,User,,,unknown,-1,2025-10-18T13:55:22.000Z
[Spot_Zone DEBUG] Registruji Spot_Zone taxonomii,User,,,unknown,-1,2025-10-18T13:55:22.000Z
[Spot_Zone DEBUG] spot_zone taxonomie zaregistrována,User,,,unknown,-1,2025-10-18T13:55:22.000Z
EVH: Plugin bootstrap start,User,,,unknown,-1,2025-10-18T13:55:22.000Z
[CPT DEBUG] charging_location post type zaregistrován,User,,,unknown,-1,2025-10-18T13:55:22.000Z
EVH: Plugin::init completed,User,,,unknown,-1,2025-10-18T13:55:22.000Z
[DB Nearby][BATCH] Fetched pending items | {"requested":1,"found":0},User,,,unknown,-1,2025-10-18T13:55:22.000Z
[Spot_Zone DEBUG] Spouštím registraci spot_zone taxonomie,User,,,unknown,-1,2025-10-18T13:55:22.000Z
[POI DEBUG] poi post type zaregistrován,User,,,unknown,-1,2025-10-18T13:55:22.000Z
[CHARGING DEBUG] REST API routes registrovány,User,,,unknown,-1,2025-10-18T13:55:22.000Z
EVH: Plugin bootstrap start,User,,,unknown,-1,2025-10-18T13:55:22.000Z
[CHARGING DEBUG] Charging_Location_Form init,User,,,unknown,-1,2025-10-18T13:55:22.000Z
[CHARGING DEBUG] Charging_Location_Form init dokončen,User,,,unknown,-1,2025-10-18T13:55:22.000Z
[CHARGING DEBUG] Registruji REST API routes,User,,,unknown,-1,2025-10-18T13:55:22.000Z
EVH: Composer autoloader loaded,User,,,unknown,-1,2025-10-18T13:55:22.000Z
[CPT DEBUG] Konstruktor CPT spuštěn,User,,,unknown,-1,2025-10-18T13:55:22.000Z
[DB Nearby][BATCH] Process batch started | {"requested":1},User,,,unknown,-1,2025-10-18T13:55:22.000Z
[CPT DEBUG] Registruji charging_location post type,User,,,unknown,-1,2025-10-18T13:55:22.000Z
EVH: Composer autoloader loaded,User,,,unknown,-1,2025-10-18T13:55:22.000Z
[RV_Spot DEBUG] Registruji RV_Spot CPT,User,,,unknown,-1,2025-10-18T13:55:22.000Z
[RV_Spot DEBUG] Spouštím registraci rv_spot post type,User,,,unknown,-1,2025-10-18T13:55:22.000Z
[CHARGING DEBUG] Registruji AJAX handlery...,User,,,unknown,-1,2025-10-18T13:55:22.000Z
[CHARGING DEBUG] AJAX handlery registrovány,User,,,unknown,-1,2025-10-18T13:55:22.000Z
[Spot_Zone DEBUG] Registruji Spot_Zone taxonomii,User,,,unknown,-1,2025-10-18T13:55:22.000Z
[POI DEBUG] Registruji POI CPT,User,,,unknown,-1,2025-10-18T13:55:22.000Z
[CPT DEBUG] Registruji charging_location post type,User,,,unknown,-1,2025-10-18T13:55:22.000Z
[RV_Spot DEBUG] Registruji RV_Spot CPT,User,,,unknown,-1,2025-10-18T13:55:22.000Z
PHP Warning:  Constant WP_DEBUG_LOG already defined in /srv/htdocs/wp-config.php on line 85,Warning,,,/srv/htdocs/wp-config.php,85,2025-10-18T13:55:21.000Z
PHP Warning:  Constant WP_DEBUG_LOG already defined in /srv/htdocs/wp-config.php on line 85,Warning,,,/srv/htdocs/wp-config.php,85,2025-10-18T13:55:21.000Z
PHP Warning:  Constant WP_DEBUG_DISPLAY already defined in /srv/htdocs/wp-config.php on line 86,Warning,,,/srv/htdocs/wp-config.php,86,2025-10-18T13:55:21.000Z
PHP Warning:  Constant WP_DEBUG_DISPLAY already defined in /srv/htdocs/wp-config.php on line 86,Warning,,,/srv/htdocs/wp-config.php,86,2025-10-18T13:55:21.000Z
[CPT DEBUG] charging_location post type zaregistrován,User,,,unknown,-1,2025-10-18T13:55:21.000Z
[RV_Spot DEBUG] Spouštím registraci rv_spot post type,User,,,unknown,-1,2025-10-18T13:55:21.000Z
[Spot_Zone DEBUG] Registruji Spot_Zone taxonomii,User,,,unknown,-1,2025-10-18T13:55:21.000Z
[RV_Spot DEBUG] Spouštím registraci rv_spot post type,User,,,unknown,-1,2025-10-18T13:55:21.000Z
[CHARGING DEBUG] Charging_Location_Form init,User,,,unknown,-1,2025-10-18T13:55:21.000Z
EVH: Plugin::init completed,User,,,unknown,-1,2025-10-18T13:55:21.000Z
[POI DEBUG] Registruji POI CPT,User,,,unknown,-1,2025-10-18T13:55:21.000Z
[CHARGING DEBUG] Registruji REST API routes,User,,,unknown,-1,2025-10-18T13:55:21.000Z
[Spot_Zone DEBUG] Spouštím registraci spot_zone taxonomie,User,,,unknown,-1,2025-10-18T13:55:21.000Z
[Spot_Zone DEBUG] spot_zone taxonomie zaregistrována,User,,,unknown,-1,2025-10-18T13:55:21.000Z
EVH: Plugin bootstrap start,User,,,unknown,-1,2025-10-18T13:55:21.000Z
[Spot_Zone DEBUG] Spouštím registraci spot_zone taxonomie,User,,,unknown,-1,2025-10-18T13:55:21.000Z
[POI DEBUG] poi post type zaregistrován,User,,,unknown,-1,2025-10-18T13:55:21.000Z
[Spot_Zone DEBUG] spot_zone taxonomie zaregistrována,User,,,unknown,-1,2025-10-18T13:55:21.000Z
[RV_Spot DEBUG] Registruji RV_Spot CPT,User,,,unknown,-1,2025-10-18T13:55:21.000Z
[DB Nearby][BATCH] Fetched pending items | {"requested":1,"found":0},User,,,unknown,-1,2025-10-18T13:55:21.000Z
[CPT DEBUG] Registruji charging_location post type,User,,,unknown,-1,2025-10-18T13:55:21.000Z
EVH: Composer autoloader loaded,User,,,unknown,-1,2025-10-18T13:55:21.000Z
[POI DEBUG] Spouštím registraci poi post type,User,,,unknown,-1,2025-10-18T13:55:21.000Z
[Spot_Zone DEBUG] Spouštím registraci spot_zone taxonomie,User,,,unknown,-1,2025-10-18T13:55:21.000Z
[POI DEBUG] poi post type zaregistrován,User,,,unknown,-1,2025-10-18T13:55:21.000Z
[RV_Spot DEBUG] Registruji RV_Spot CPT,User,,,unknown,-1,2025-10-18T13:55:21.000Z
[Spot_Zone DEBUG] Registruji Spot_Zone taxonomii,User,,,unknown,-1,2025-10-18T13:55:21.000Z
[POI DEBUG] Registruji POI CPT,User,,,unknown,-1,2025-10-18T13:55:21.000Z
[RV_Spot DEBUG] rv_spot post type zaregistrován,User,,,unknown,-1,2025-10-18T13:55:21.000Z
[POI DEBUG] Spouštím registraci poi post type,User,,,unknown,-1,2025-10-18T13:55:21.000Z
[CHARGING DEBUG] Charging_Location_Form init,User,,,unknown,-1,2025-10-18T13:55:21.000Z
[RV_Spot DEBUG] Spouštím registraci rv_spot post type,User,,,unknown,-1,2025-10-18T13:55:21.000Z
